"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"11615","QB","Joe","Webb","0","6","4800","IND@CAR","CAR","IND","","","",""
"28131","WR","Keith","Mumphery","2.7","7","4800","TEN@HOU","HOU","TEN","","","",""
"28202","RB","Jeremy","Langford","3.3","6","4700","MIN@CHI","CHI","MIN","","","",""
"21972","WR","Brian","Quick","0.5","3","4700","SF@STL","STL","SF","","","",""
"28249","RB","David","Cobb","0","0","4700","TEN@HOU","TEN","HOU","IR","Calf","",""
"6522","K","Josh","Brown","9.7","7","4700","NYG@NO","NYG","NO","","","",""
"10030","WR","Harry","Douglas","3.6","5","4700","TEN@HOU","TEN","HOU","Q","Ribs","",""
"37245","RB","Foswhitt","Whittaker","1.4","6","4700","IND@CAR","CAR","IND","","","",""
"28486","WR","Corey (Philly)","Brown","4.6","6","4700","IND@CAR","CAR","IND","","","",""
"28502","WR","Devin","Smith","2.3","4","4700","NYJ@OAK","NYJ","OAK","","","",""
"22762","WR","Chris","Owusu","3.7","3","4700","NYJ@OAK","NYJ","OAK","","","",""
"12556","D","Houston","Texans","4.3","7","4700","TEN@HOU","HOU","TEN","","","",""
"39445","WR","Brice","Butler","3.1","4","4700","SEA@DAL","DAL","SEA","","","",""
"22336","WR","Josh","Bellamy","2.9","6","4700","MIN@CHI","CHI","MIN","","","",""
"39492","TE","Josh","Hill","2.2","7","4700","NYG@NO","NO","NYG","","","",""
"9442","WR","Brandon","Tate","2","6","4700","CIN@PIT","CIN","PIT","","","",""
"10744","K","Graham","Gano","8.5","6","4700","IND@CAR","CAR","IND","","","",""
"6682","TE","Owen","Daniels","4.6","6","4700","GB@DEN","DEN","GB","","","",""
"12540","D","Minnesota","Vikings","8.5","6","4700","MIN@CHI","MIN","CHI","","","",""
"12528","D","Cincinnati","Bengals","7","6","4700","CIN@PIT","CIN","PIT","","","",""
"12531","D","Denver","Broncos","17","6","4700","GB@DEN","DEN","GB","","","",""
"7788","WR","Louis","Murphy","4.1","6","4700","TB@ATL","TB","ATL","IR","Knee","",""
"14369","RB","Jordan","Todman","0.2","7","4700","CIN@PIT","PIT","CIN","","","",""
"22048","RB","Robert","Turbin","3.8","2","4700","ARI@CLE","CLE","ARI","","","",""
"6636","K","Mike","Nugent","7.3","6","4600","CIN@PIT","CIN","PIT","","","",""
"6642","K","Nick","Folk","9.3","6","4600","NYJ@OAK","NYJ","OAK","","","",""
"22958","RB","Bobby","Rainey","0.7","6","4600","TB@ATL","TB","ATL","","","",""
"15176","K","Kai","Forbath","4","2","4600","NYG@NO","NO","NYG","","","",""
"28346","TE","Maxx","Williams","2.8","6","4600","SD@BAL","BAL","SD","Q","Knee","",""
"34288","WR","Rannell","Hall","0","0","4600","TB@ATL","TB","ATL","","","",""
"14240","TE","Lance","Kendricks","3.6","5","4600","SF@STL","STL","SF","Q","Thumb","",""
"14301","RB","Kendall","Hunter","0","0","4600","SF@STL","SF","STL","","","",""
"47953","WR","Lucky","Whitehead","0.7","5","4600","SEA@DAL","DAL","SEA","","","",""
"14952","K","Dan","Bailey","7.7","6","4600","SEA@DAL","DAL","SEA","","","",""
"38301","TE","Darren","Fells","5.2","6","4600","ARI@CLE","ARI","CLE","D","Shoulder","",""
"32045","TE","Vance","McDonald","1","6","4600","SF@STL","SF","STL","","","",""
"12547","D","Pittsburgh","Steelers","7.9","7","4600","CIN@PIT","PIT","CIN","","","",""
"44351","WR","L.T.","Smith","0","0","4600","IND@CAR","IND","CAR","","","",""
"22228","TE","Chase","Ford","3.9","11","4600","MIN@CHI","MIN","CHI","","","",""
"29827","TE","Joseph","Fauria","2.6","7","4600","ARI@CLE","ARI","CLE","","","",""
"7831","K","Sebastian","Janikowski","8.8","6","4600","NYJ@OAK","OAK","NYJ","","","",""
"30775","WR","Justin","Hunter","4.1","6","4600","TEN@HOU","TEN","HOU","","","",""
"6910","K","Robbie","Gould","10.3","6","4600","MIN@CHI","CHI","MIN","","","",""
"11766","TE","Jeff","Cumberland","0.8","5","4600","NYJ@OAK","NYJ","OAK","","","",""
"22108","RB","Vick","Ballard","0","0","4600","IND@CAR","IND","CAR","","","",""
"22109","K","Greg","Zuerlein","6.7","6","4600","SF@STL","STL","SF","","","",""
"11556","TE","Michael","Hoomanawanui","2.2","5","4600","NYG@NO","NO","NYG","","","",""
"28080","WR","Devin","Funchess","1.9","6","4600","IND@CAR","CAR","IND","","","",""
"6688","WR","Jerricho","Cotchery","4.8","4","4600","IND@CAR","CAR","IND","","","",""
"6567","TE","David","Johnson","0","7","4500","SD@BAL","SD","BAL","","","",""
"21984","RB","Isaiah","Pead","-0.8","2","4500","SF@STL","STL","SF","","","",""
"30598","TE","Rory","Anderson","0","0","4500","SF@STL","SF","STL","IR","Ankle","",""
"33037","WR","Kenbrell","Thompkins","2.7","14","4500","NYJ@OAK","NYJ","OAK","","","",""
"34125","WR","Geremy","Davis","0.4","7","4500","NYG@NO","NYG","NO","","","",""
